secid,date,cp_flag,index_flag,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,volume,open_interest
108105,07/11/2017,C,1,64881510,SPX,9999,32768,,A,,514702,4827999
108105,07/11/2017,P,1,64881510,SPX,9999,32768,,A,,858530,10092860
108105,08/11/2017,,1,64881510,SPX,9999,32768,,A,,961965,15442708
108105,08/11/2017,C,1,64881510,SPX,9999,32768,,A,,301795,5005985
108105,08/11/2017,P,1,64881510,SPX,9999,32768,,A,,660170,10436723
108105,09/11/2017,,1,64881510,SPX,9999,32768,,A,,1660410,15514632
108105,09/11/2017,C,1,64881510,SPX,9999,32768,,A,,582788,5006788
108105,09/11/2017,P,1,64881510,SPX,9999,32768,,A,,1077622,10507844
108105,10/11/2017,,1,64881510,SPX,9999,32768,,A,,1427040,16054693
108105,10/11/2017,C,1,64881510,SPX,9999,32768,,A,,384029,5121471
108105,10/11/2017,P,1,64881510,SPX,9999,32768,,A,,1043011,10933222
108105,13/11/2017,,1,64881510,SPX,9999,32768,,A,,1125221,15856661
108105,13/11/2017,C,1,64881510,SPX,9999,32768,,A,,408968,5040356
108105,13/11/2017,P,1,64881510,SPX,9999,32768,,A,,716253,10816305
108105,14/11/2017,,1,64881510,SPX,9999,32768,,A,,1281310,16024890
108105,14/11/2017,C,1,64881510,SPX,9999,32768,,A,,448081,5092748
108105,14/11/2017,P,1,64881510,SPX,9999,32768,,A,,833229,10932142
108105,15/11/2017,,1,64881510,SPX,9999,32768,,A,,1616209,16466765
108105,15/11/2017,C,1,64881510,SPX,9999,32768,,A,,562874,5212589
108105,15/11/2017,P,1,64881510,SPX,9999,32768,,A,,1053335,11254176
108105,16/11/2017,,1,64881510,SPX,9999,32768,,A,,1368869,16640599
108105,16/11/2017,C,1,64881510,SPX,9999,32768,,A,,500096,5269542
108105,16/11/2017,P,1,64881510,SPX,9999,32768,,A,,868773,11371057
108105,17/11/2017,,1,64881510,SPX,9999,32768,,A,,1468725,15234164
108105,17/11/2017,C,1,64881510,SPX,9999,32768,,A,,497022,4908210
108105,17/11/2017,P,1,64881510,SPX,9999,32768,,A,,971703,10325954
108105,20/11/2017,,1,64881510,SPX,9999,32768,,A,,1256045,15458982
108105,20/11/2017,C,1,64881510,SPX,9999,32768,,A,,469827,4976334
108105,20/11/2017,P,1,64881510,SPX,9999,32768,,A,,786218,10482648
108105,21/11/2017,,1,64881510,SPX,9999,32768,,A,,1781145,15600125
108105,21/11/2017,C,1,64881510,SPX,9999,32768,,A,,806929,5040095
108105,21/11/2017,P,1,64881510,SPX,9999,32768,,A,,974216,10560030
108105,22/11/2017,,1,64881510,SPX,9999,32768,,A,,1211317,16137342
108105,22/11/2017,C,1,64881510,SPX,9999,32768,,A,,362526,5257880
108105,22/11/2017,P,1,64881510,SPX,9999,32768,,A,,848791,10879462
108105,24/11/2017,,1,64881510,SPX,9999,32768,,A,,744353,16425291
108105,24/11/2017,C,1,64881510,SPX,9999,32768,,A,,240369,5315406
108105,24/11/2017,P,1,64881510,SPX,9999,32768,,A,,503984,11109885
108105,27/11/2017,,1,64881510,SPX,9999,32768,,A,,1378222,15905328
108105,27/11/2017,C,1,64881510,SPX,9999,32768,,A,,524440,5189081
108105,27/11/2017,P,1,64881510,SPX,9999,32768,,A,,853782,10716247
108105,28/11/2017,,1,64881510,SPX,9999,32768,,A,,1687832,16076927
108105,28/11/2017,C,1,64881510,SPX,9999,32768,,A,,791688,5262320
108105,28/11/2017,P,1,64881510,SPX,9999,32768,,A,,896144,10814607
108105,29/11/2017,,1,64881510,SPX,9999,32768,,A,,1628694,16522764
108105,29/11/2017,C,1,64881510,SPX,9999,32768,,A,,685695,5432552
108105,29/11/2017,P,1,64881510,SPX,9999,32768,,A,,942999,11090212
108105,30/11/2017,,1,64881510,SPX,9999,32768,,A,,2256744,16700069
108105,30/11/2017,C,1,64881510,SPX,9999,32768,,A,,1020031,5472400
108105,30/11/2017,P,1,64881510,SPX,9999,32768,,A,,1236713,11227669
108105,01/12/2017,,1,64881510,SPX,9999,32768,,A,,2042985,16552290
108105,01/12/2017,C,1,64881510,SPX,9999,32768,,A,,740523,5455791
108105,01/12/2017,P,1,64881510,SPX,9999,32768,,A,,1302462,11096499
108105,04/12/2017,,1,64881510,SPX,9999,32768,,A,,1530943,16327768
108105,04/12/2017,C,1,64881510,SPX,9999,32768,,A,,632838,5360383
108105,04/12/2017,P,1,64881510,SPX,9999,32768,,A,,898105,10967385
108105,05/12/2017,,1,64881510,SPX,9999,32768,,A,,1099419,16471268
108105,05/12/2017,C,1,64881510,SPX,9999,32768,,A,,372660,5411496
108105,05/12/2017,P,1,64881510,SPX,9999,32768,,A,,726759,11059772
108105,06/12/2017,,1,64881510,SPX,9999,32768,,A,,1191083,16860761
108105,06/12/2017,C,1,64881510,SPX,9999,32768,,A,,467575,5518906
108105,06/12/2017,P,1,64881510,SPX,9999,32768,,A,,723508,11341855
108105,07/12/2017,,1,64881510,SPX,9999,32768,,A,,1076932,16980495
108105,07/12/2017,C,1,64881510,SPX,9999,32768,,A,,378711,5551983
108105,07/12/2017,P,1,64881510,SPX,9999,32768,,A,,698221,11428512
108105,08/12/2017,,1,64881510,SPX,9999,32768,,A,,1447063,17394197
108105,08/12/2017,C,1,64881510,SPX,9999,32768,,A,,572800,5677467
108105,08/12/2017,P,1,64881510,SPX,9999,32768,,A,,874263,11716730
108105,11/12/2017,,1,64881510,SPX,9999,32768,,A,,1168045,16979377
108105,11/12/2017,C,1,64881510,SPX,9999,32768,,A,,472622,5598277
108105,11/12/2017,P,1,64881510,SPX,9999,32768,,A,,695423,11381100
108105,12/12/2017,,1,64881510,SPX,9999,32768,,A,,1522412,17101381
108105,12/12/2017,C,1,64881510,SPX,9999,32768,,A,,655644,5630335
108105,12/12/2017,P,1,64881510,SPX,9999,32768,,A,,866768,11471046
108105,13/12/2017,,1,64881510,SPX,9999,32768,,A,,1318850,17587845
108105,13/12/2017,C,1,64881510,SPX,9999,32768,,A,,546037,5829648
108105,13/12/2017,P,1,64881510,SPX,9999,32768,,A,,772813,11758197
108105,14/12/2017,,1,64881510,SPX,9999,32768,,A,,1600011,17845020
108105,14/12/2017,C,1,64881510,SPX,9999,32768,,A,,650619,5919943
108105,14/12/2017,P,1,64881510,SPX,9999,32768,,A,,949392,11925077
108105,15/12/2017,,1,64881510,SPX,9999,32768,,A,,1627386,12578464
108105,15/12/2017,C,1,64881510,SPX,9999,32768,,A,,632796,4033343
